,x_mean_PSD,x_max_PSD_f,x_max_PSD,x_PSD_above_20,y_mean_PSD,y_max_PSD_f,y_max_PSD,y_PSD_above_20,z_mean_PSD,z_max_PSD_f,z_max_PSD,z_PSD_above_20,surface
88,(2.761369346646258+0j),13.013013013013012,(30.50587012148164+0j),3,(3.1462794176980835+0j),11.411411411411411,(45.86751357419527+0j),4,(11.100641365611246+0j),12.312312312312311,(155.87910250721387+0j),32,AS
89,(2.1820668753829544+0j),12.087912087912088,(28.405174849165796+0j),4,(2.3324534545247664+0j),12.187812187812188,(34.55368720030548+0j),3,(9.13614237690108+0j),11.988011988011989,(103.35997899279212+0j),27,AS
90,(3.4888237198750875+0j),11.200000000000001,(74.80797090367851+0j),10,(4.984982764962922+0j),14.0,(45.37752268694111+0j),14,(9.437136676468645+0j),12.100000000000001,(84.98890415504837+0j),29,AS
91,(2.271665637004513+0j),10.3,(38.99645732505722+0j),1,(3.765992302771398+0j),12.8,(30.59740751550172+0j),6,(8.464577986348635+0j),12.5,(73.91172145307571+0j),26,AS
92,(1.5236406269602365+0j),10.5,(23.822528363034102+0j),1,(2.197995615335266+0j),10.3,(27.6590642658856+0j),1,(7.866233395857998+0j),13.9,(87.17600376652085+0j),27,AS
93,(1.1592447244417268+0j),10.11011011011011,(26.604967590326748+0j),1,(3.0325722941153503+0j),12.812812812812812,(37.574166828799235+0j),10,(5.373940539201527+0j),11.31131131131131,(67.30258676961793+0j),12,AS
94,(1.869714063352819+0j),10.48951048951049,(40.06637504295499+0j),4,(3.0509418663265393+0j),10.38961038961039,(30.485366500120755+0j),3,(7.762610741717903+0j),11.988011988011989,(85.19786072655938+0j),23,AS
95,(2.1360241684392074+0j),10.8,(32.064121326499105+0j),4,(3.6748486632521065+0j),13.200000000000001,(54.64908161252766+0j),9,(9.45609572012497+0j),10.0,(123.9523971288288+0j),29,AS
96,(2.40924443632688+0j),11.700000000000001,(39.2093691885329+0j),1,(4.621664106248774+0j),10.700000000000001,(63.40038439926074+0j),9,(11.915874878710696+0j),12.4,(143.1208473914289+0j),35,AS
97,(2.2362578589657467+0j),10.5,(52.02108951989113+0j),3,(4.773918205958913+0j),16.1,(49.260273248231734+0j),12,(11.050952311517252+0j),12.4,(91.43823882495298+0j),34,AS
